Åìî‘çÜ,ÅFéÊìæì˙ïtÅiêÌó™ï™êÕópÅj,ÅñéÊìæì˙ïtÅiÉOÉâÉtópÅj,Åìè§ïiñº,ÅñAmazonéÊÇËàµÇ¢äJénì˙,Åìèoïié“,Åìè§ïiè⁄ç◊URL,Åìèdï°,ÅìçÄî‘,ÅìêØ,É^ÉCÉgÉã,Åììäçeé“,ÅñÉåÉrÉÖÅ[ì˙ït,ÉåÉrÉÖÅ[ì‡óe
603,2017/04/05 21:48:48,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,14,5,"Jada Metals are AWESOME!","BRET A REYNOSO",2016/02/13,"I have to say, that so far, EVERYTHING I have purchased from the Batman v Superman series has been very impressive. Including this piece.
It seems like no effort has been spared in delivering a good quality piece.Worth the purchase price."
604,2017/04/05 21:48:48,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,15,5,"Great metal model.","Rusty O.",2016/02/24,"Good size model, sturdy, and not to hard to assemble. Love it! Just in time for the movie too."
605,2017/04/05 21:48:49,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,16,5,"It was a sweet surprise to find this excellent representation of the upcoming ...","Meghan L Lynch Memos",2016/02/01,"It was a sweet surprise to find this excellent representation of the upcoming Bat-mobile from a company I have not heard to much about. The build was easy, and the end result is sturdy. The look is great, and die-cast ads just that little extra. A reviewer on YouTube said this is about a 1:18 scale, but trust me, it's 1:25. Smaller, but still a good size. If Jada made a 1:18 with this quality, I'd get it (it would ad about another 2-3 inches in length. This is well worth it folks! I recommend it!"
606,2017/04/05 21:48:49,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,17,5,"This is a great model for the money","Fiver",2016/10/26,"This is a great model for the money. It's 1/24 scale so it's a bit larger than most models and the details are very good for a die cast kit. It has an opening canopy (doesn't open the way it does in the movie but at least it opens) to reveal a decently detailed cockpit. The only trouble I had with assembly was the wheels; it's difficult to get the axles into the wheels far enough so that the tires clear the fenders but with some struggling you get there. All in all an excellent, affordable replica."
607,2017/04/05 21:48:49,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,18,5,"... for my husband for his birthday and it's a good size. He had fun putting it together and ...","Melissa Willardson",2016/10/23,"I bought this for my husband for his birthday and it's a good size. He had fun putting it together and had a bit of a hard time with two small pieces on the back but was able to figure them out fairly quick. The rest of the assembling was easy and fun. The doors open and there's a lot of detail in the inside of the car. he loves this car."
608,2017/04/05 21:48:49,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,19,4,"Great Batmobile","Victor F.",2016/02/28,"Affordable good looking kit. Totally worth it."
609,2017/04/05 21:48:49,2017/4/5,"Metals Batman V Superman 1:24 Batmobile Model Kit",,"Jada",https://www.amazon.com/Metals-Batman-Superman-Batmobile-Model/dp/B01A1FX1QI/ref=sr_1_29?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-29&keywords=model,0,20,5,"Great Batmobile","John Peay",2016/07/04,"Great Batmobile. You can't beat the price for a mostly metal model. The materials are well made, and well colored. The paint has a used effect to it giving it a battle tested look. I would recommend this Batmobile for collecting or play time. Not that a grown man would play with a Batmobile?!?"
610,2017/04/05 21:49:00,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,1,2,"Good product-buyer beware","Brynn DeLong",2016/11/07,"The product itself is great. I ended up buying at a local craft store white model magic because what was delivered to me was green. I used it for a halloween costume, a unicorn horn, and absolutely loved it! Buyer beware though, what you order might not be what you get."
611,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,2,2,"Wrong color...","Lola Snowe",2017/03/20,"I ordered white, but received green. Guess I'll use it for a different project. Not worth the effort of returning, much easier to just buy it from a store where I can see what I'm getting."
612,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,3,5,"Five Stars","jason yj lee",2017/03/21,"love it"
613,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,4,1,"One Star","Nitin Nanda, MD",2017/03/19,"I got this in green instead of white which angers me."
614,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,5,5,"baby footprint ornament!","Lindsey Brooke",2015/01/25,"I purchased this before Christmas in order to make an ornament of my baby's footprint. It worked great! I was looking for something that would be easier than making salt dough or working with clay, and this worked out well! I even painted it with acrylic paint afterword and it dried beautifully. My only hope is that it maintains the shape and does well over time. I will update this review once I get our ornaments out next year to see how well it held up after a year.

 This stuff is seriously easy to work with. It doesn't exactly harden like clay though."
615,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,6,5,"Easy to work with","Katherine Hunt",2014/12/11,"Used this to make ornaments for grandparents with my daughter's handprint. Worked wonderfully! Not sticky and easy to clean up, which was particularly important as she is only 6 months old and loves to put her hands in her mouth!"
616,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,7,5,"Good for handprint ornaments","Ex-Pat Brit",2017/02/01,"Great stuff. I made handprint gifts for my son's grandparents using model magic. I bought two packs to make 3 large ornaments that fit both of his (1-year-old) hands. If you were just doing one hand, I'd say that one pack can easily make two ornaments.
Remember to make a hole in it before you leave it to set. I used a straw to punch out a small round circle."
617,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,8,5,"great clay","Rachel Fury",2011/10/03,"Crayola model magic offers a modeling compound that creates everything from masks to intricate dioramas. Nongreasy formula air dries to a smooth resilient finish that can be painted and decorated."
618,2017/04/05 21:49:01,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,9,3,"Fine for sculpting, but turned everything black.","Emi, NC",2015/07/04,"We use model magic to make holiday ornaments every year. Generally, we buy a tub of the white, and then use food coloring to dye it in an array of colors. We never have any problem with the dye leaving residue or staining anything, and the colors dry beautifully. Since black is difficult to make, we bought a little extra black to make details this year. Interestingly, the Black Model Magic made by Crayola seems to turn everything black - hands, towels, etc. The black dye gets everywhere, and is not as easy to clean off as you might hope given that it's made for messy kids.

Bottom line: It dried fine, and was fun to sculpt, but messier than some of the other colors."
619,2017/04/05 21:49:02,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,10,5,"Wonderful stuff, I've used this to craft many things","Kayla McDaniel",2016/02/22,"Wonderful stuff, I've used this to craft many things. The only downside is that the clay can crack if it dries unevenly. Make sure to rotate whatever you're making every couple hours while it's drying!"
620,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,11,4,"Awesome for costumes & crafts!!","Victoria S.",2016/10/28,"It's a good light weight modeling clay. I needed to make antlers for my halloween costume so it needed to be easily molded & light! It reacted well with the paint I applied afterwards, was very easy to mold, i even sanded it some after it dried & that worked well to smooth out the seams. Only issue is it did still crack some after it dried. Otherwise a lil goes a long way & it was DEFINITELY worth the price."
621,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,12,1,"I was not happy with this purchase at all","Amazon Customer",2017/02/08,"I was not happy with this purchase at all...I received it today and as soon as opened the package I could already feel how dried out the clay was. Definitely will not be buying from this seller ever again and i certainly don't recommend you do either."
622,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,13,4,"I loved the fact as it was lightweight as it was ...","Selandra",2016/07/30,"I used this to make a unicorn horn and ears for a halloween costume. I loved the fact as it was lightweight as it was easy to attach to my mask and headband and wear all night. Also the softness kept me from impaling friends when at the party but it was strong enough not to break.
From one package i was able to make two sets of horns and ears... my first try wasn't so great."
623,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,14,2,"Previously sculpted","Carole Preble",2015/03/15,"While it's true that it's easy for children to mold with it's actually TOO soft for serious users who are trying to make a piece with any detail. It squishes easily and destroys the area that you previously sculpted! It also does not dry as hard as other sculpting clays so some delicate pieces end up breaking eventually. An example is a smiley sun magnet with wavy 'Rays' that my daughter made. After a week or so the rays broke off one by one and now we have the Walmart logo as a refrigerator magnet! lol
The pluses are these.
No odor
No staining on work surfaces, hands, or clothing.
No need to bake - hardens (somewhat) with air drying.
Very nice vibrant colors.
To sum up - it's perfect for young children but older children and adults will get better results with Sculpey Clay."
624,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,15,5,"Handy and practical","Sue",2015/11/30,"There are multiple uses for this product in my studio - I love the fact that I can use a mold to create a thin face with model magic, and when dry, the product can be painted, sealed, and even stitched into!"
625,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,16,4,"Four Stars","Beth Belt",2015/10/13,"Worked well for molding on top of a mask, but cracked a bit while drying."
626,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,17,5,"Excellent Service","Anthony P. Decondo Sr.",2014/02/12,"The product was delivered very quickly and we are looking forward to using it in our Lenape-Delaware exhibit at the Paterson Museum in Paterson NJ, Thank you. Tony, ASNJ"
627,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,18,5,"Fantastic for arts and crafts!","Gadgetguy",2015/12/24,"Great stuff! Doesn't dry too quickly. My daughter uses this to make models. She also recently used some for a school project to make a topographical map of GA."
628,2017/04/05 21:49:06,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,19,4,"Fun for kids","R. Sorvick",2012/11/22,"My son loves playing with this modeling foam. Vibrant color. 4 oz isn't much, though, so you'll probably want to buy multiple packs at once."
629,2017/04/05 21:49:07,2017/4/5,"Crayola Model Magic 4 Oz: White",,"Crayola",https://www.amazon.com/Crayola-Model-Magic-Oz-White/dp/B00000J0SM/ref=sr_1_30?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-30&keywords=model,0,20,5,"Love this stuff","Sam C",2013/04/03,"How much fun this stuff is. I love working with it and I'm no artist - not yet anyway. It made beautiful dolls!"
630,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,1,5,"WONDERFUL GIFT CHOICE!","Jacqulyne",2015/12/29,"My first review was rejected by Amazon due to my lack of zeal for this product. So, here is my revised review:
 THIS PRODUCT IS WONDERFUL!!!!! It is EXACTLY like the picture! The red color on the package is exactly how it appears and there are indeed, 2 tubes of glue in it! I can not WAIT to see how much fun my dad has using this to put his model cars together! I bet it will end up being his favorite present of the whole 2015 Christmas season! I AM SO GLAD I PURCHASED THIS PRODUCT!!!!!! If you are in need of a fantastic gift for the special person in your life, this is it!"
631,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,2,4,"maybe my memories of better days gone by are tainted","Sean Zanella",2017/03/15,"maybe my memories of better days gone by are tainted, but it dosent seem to work as well as it used to back in the day. however, it is MILES better than the ""safe"" ""non-toxic"" garbage they sell now."
632,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,3,4,"... but I know from experience that it is a good plastic glue","David Hill",2017/03/18,"I haven't used this product yet but I know from experience that it is a good plastic glue."
633,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,4,5,"Great, strong glue perfect for Plastic Models","AC",2016/08/22,"Works as claimed, must be careful, however, when handling. Perfect for Plastic Models."
634,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,5,5,"glues model together","ajmomboy",2016/04/12,"Not really sure what to say for a review besides it's glue and it works great for model car I am building."
635,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,6,5,"Five Stars","GeorgiaMama",2017/03/25,"Worked perfect, fast shipping!"
636,2017/04/05 21:49:20,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,7,4,"Tried and true... Testors model products have ...","Soccer99",2016/02/09,"Tried and true ... Testors model products have always been staple for me."
637,2017/04/05 21:49:21,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,8,5,"Great glue for many different kinds of projects","Amy G.",2016/02/10,"Works great for model cars. I have even used it for some other household items."
638,2017/04/05 21:49:21,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,9,5,"Five Stars","EDWARD A MIANO",2017/03/23,"easy purchase"
639,2017/04/05 21:49:21,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,10,5,"Five Stars","Tech-mom",2017/03/29,"Works well."
640,2017/04/05 21:49:25,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,11,5,"Five Stars","paul f grygorcewicz",2017/03/13,"works fast"
641,2017/04/05 21:49:25,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,12,5,"Five Stars","JAK",2017/03/29,"Good value"
642,2017/04/05 21:49:25,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,13,5,"Five Stars","Candace S. Arnold",2017/04/03,"Works great."
643,2017/04/05 21:49:25,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,14,5,"Five Stars","Lady Reader",2017/03/30,"Works as expected"
644,2017/04/05 21:49:25,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,15,4,"It's model glue. Not much else to say.","Jsweet",2017/03/08,"It's model glue. Not much else to say."
645,2017/04/05 21:49:25,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,16,5,"Five Stars","S. Craig",2017/03/24,"great product and seller"
646,2017/04/05 21:49:26,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,17,5,"Work as advertised","Jim",2017/04/01,"It is what it is."
647,2017/04/05 21:49:26,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,18,1,"Nope!","Andy T.",2017/03/03,"Weak, doesn't hold that well after all..."
648,2017/04/05 21:49:26,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,19,5,"Very Good And About Half Price What I Pay Locally","Amazon Customer",2017/03/30,"Very Good And About Half Price What I Pay Locally,"
649,2017/04/05 21:49:26,2017/4/5,"Cement Glue Value Pack Testors 2-7/8 fl oz tubes",,"Testors",https://www.amazon.com/Cement-Glue-Value-Testors-tubes/dp/B0013D53CS/ref=sr_1_31?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-31&keywords=model,0,20,5,"Five Stars","Jim Graham",2015/06/12,"good stuff"
650,2017/04/05 21:49:38,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,1,3,"I liked that children can put their hands on the pieces ...","Annette",2016/03/17,"I liked that children can put their hands on the pieces and really investigate this. I was very disappointed in the outer covering of the Tabernacle.... it looks like giraffe. That is a significant error!"
651,2017/04/05 21:49:39,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,2,2,"NOT an accurate ""to scale"" model","Jeffery M",2016/03/01,"Based on the product description, we bought the model expecting it to be at a consistent scale. After measuring the various parts, it was clear that there is no consistent scale applied to the model. The model we were required to build was a ""scale"" model (whatever scale we decided on). We ultimately selected 1cm to 1 cubit. This model is smaller than that, which would have not been a problem expect for the completely inconsistent scale."
652,2017/04/05 21:49:39,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,3,5,"The model is almost perfectly faithful to the Orthodox Jewish tradition. Any deviation form that tradition is easy to correct.","Dr.Rays",2016/04/03,"I've built four of these for my grandchildren. The model is distributed by a Christian company with the Christian community in mind, but from an Orthodox Jewish perspective, the details in the model are almost perfect. Another thing I've noticed is that they have simplified assembly of the model over the years. This is the easiest version I have yet to build."
653,2017/04/05 21:49:39,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,4,5,"Buy this!!!!","Lyniah M.",2017/04/01,"This is the best project i ever had or did...i love it.....every time i look at it i get sooo much peace from it.
Easy to assemble an the more u spend time on it more u learn about it.
Everyone should have one."
654,2017/04/05 21:49:39,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,5,5,"This tabernacle help me grow in my walk with the Lord.","Jim Fisher",2017/03/04,"This was everything I expected to be. It was a joy building and reading about the different pieces of the tabernacle I highly recommend this model."
655,2017/04/05 21:49:39,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,6,5,"Kids love it.","Robert Bell",2017/03/10,"Used in Bible class. Kids love it."
656,2017/04/05 21:49:39,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,7,5,"Five Stars","Brian W. Burlock",2017/03/14,"Cool kit...used for Bible study class"
657,2017/04/05 21:49:40,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,8,5,"Well engineered model.","Marjorie L. Teague",2015/02/03,"Not a toy; not for little kids. Very well engineered. Pieces (and there are a LOT of pieces) fit fine. Screw holes are accurately pre-drilled. Screw-eyes go in well and do not break A couple of little tubes of super glue would have helped. Clear fingernail polish poured into the Laver made authentic-looking water. This is a fine teaching tool."
658,2017/04/05 21:49:40,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,9,5,"worth the time putting it together","Amazon Customer",2016/01/19,"I got this model a while ago and had fun putting it together.I learned a lot more about the Tabernacle
 because as your putting it together you'll want to read what the Scriptures says about the items.
I found a web site where they show some tips on painting and detailing the model...
The Pastor of our church really liked it.I also use it as a teaching tool.."
659,2017/04/05 21:49:40,2017/4/5,"The Tabernacle: Tabernacle Model Kit by Vision Video",,"Vision Video",https://www.amazon.com/Tabernacle-Model-Kit-Vision-Video/dp/B0054541GK/ref=sr_1_32?s=toys-and-games&ie=UTF8&qid=1491396435&sr=1-32&keywords=model,0,10,4,"It is great. Some of the furniture is a little fragile","ippiusa",2015/06/27,"It is great. Some of the furniture is a little fragile, and it takes a while to assemble, but well worth it and I am very happy I bought this."
